2026-04-09 19:30:14 | INFO | CI | === RUN START ===
2026-04-09 19:30:14 | INFO | CI | project=Module 6: EVTAL PIPELINE - WEB DOCUMENTS (HTML)
2026-04-09 19:30:14 | INFO | CI | repo_dir=nlp-06-nlp-pipeline
2026-04-09 19:30:14 | INFO | CI | python=3.14.3
2026-04-09 19:30:14 | INFO | CI | os=Windows 11
2026-04-09 19:30:14 | INFO | CI | shell=powershell
2026-04-09 19:30:14 | INFO | CI | cwd=.
2026-04-09 19:30:14 | INFO | CI | github_actions=False
2026-04-09 19:30:14 | INFO | CI | START PIPELINE
2026-04-09 19:30:14 | INFO | CI | ROOT_PATH = .
2026-04-09 19:30:14 | INFO | CI | DATA_PATH = data
2026-04-09 19:30:14 | INFO | CI | RAW_PATH = data\raw
2026-04-09 19:30:14 | INFO | CI | PROCESSED_PATH = data\processed
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | STAGE 01: EXTRACT starting... 
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | EXTRACT: Fetching HTML from https://arxiv.org/abs/2602.20021
2026-04-09 19:30:14 | INFO | CI | SOURCE URL = https://arxiv.org/abs/2602.20021
2026-04-09 19:30:14 | INFO | CI | SINK PATH = data\raw\case_raw.html
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | STAGE 02: VALIDATE starting...
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | HTML STRUCTURE INSPECTION:
2026-04-09 19:30:14 | INFO | CI | Top-level type: BeautifulSoup
2026-04-09 19:30:14 | INFO | CI | Top-level elements: ['html']
2026-04-09 19:30:14 | INFO | CI | VALIDATE: Title found: True
2026-04-09 19:30:14 | INFO | CI | VALIDATE: Authors found: True
2026-04-09 19:30:14 | INFO | CI | VALIDATE: Abstract found: True
2026-04-09 19:30:14 | INFO | CI | VALIDATE: Subjects found: True
2026-04-09 19:30:14 | INFO | CI | VALIDATE: Dateline found: True
2026-04-09 19:30:14 | INFO | CI | VALIDATE: HTML structure is valid.
2026-04-09 19:30:14 | INFO | CI | Sink: validated BeautifulSoup object
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | STAGE 03: TRANSFORM starting...
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | Extracting metadata from HTML
2026-04-09 19:30:14 | INFO | CI | We must manually inspect the HTML structure to identify the fields we want to extract.
2026-04-09 19:30:14 | INFO | CI | For this arXiv page, we can extract:
- Title from <h1 class='title'>
- Authors from <div class='authors'>
- Abstract from <blockquote class='abstract'>
- Primary subject from <div class='subheader'>
- Submission date from <div class='dateline'>
- ArXiv ID from canonical link
2026-04-09 19:30:14 | INFO | CI | Replace any missing content with `unknown` to ensure all are strings.
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | PHASE 3.1: Extract raw fields from HTML
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | Inspect: does the raw data look right?
2026-04-09 19:30:14 | INFO | CI | Look at the logged output. Does anything look surprising?
2026-04-09 19:30:14 | INFO | CI | That is the first signal that cleaning is needed.
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Project specific: Extract title, authors, abstract
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Extracted title: Agents of Chaos
2026-04-09 19:30:14 | INFO | CI | Extracted authors: Natalie Shapira, Chris Wendler, Avery Yen, Gabriele Sarti, Koyena Pal, Olivia Floody, Adam Belfki, Alex Loftus, Aditya Ratan Jannali, Nikhil Prakash, Jasmine Cui, Giordano Rogers, Jannik Brinkmann, Can Rager, Amir Zur, Michael Ripa, Aruna Sankaranarayanan, David Atkinson, Rohit Gandikota, Jaden Fiotto-Kaufman, EunJeong Hwang, Hadas Orgad, P Sam Sahil, Negev Taglicht, Tomer Shabtay, Atai Ambus, Nitay Alon, Shiri Oron, Ayelet Gordon-Tapiero, Yotam Kaplan, Vered Shwartz, Tamar Rott Shaham, Christoph Riedl, Reuth Mirsky, Maarten Sap, David Manheim, Tomer Ullman, David Bau
2026-04-09 19:30:14 | INFO | CI | Extracted abstract: We report an exploratory red-teaming study of autonomous language-model-powered agents deployed in a...
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Project specific: Extract subjects from subheader
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Extracted subjects: Computer Science > Artificial Intelligence
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Project specific: Extract submission date from dateline
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Extracted submission date: [Submitted on 23 Feb 2026]
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Project specific: Extract arxiv_id from canonical link
2026-04-09 19:30:14 | INFO | CI | ------------------------
2026-04-09 19:30:14 | INFO | CI | Extracted arxiv_id: 2602.20021
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | PHASE 3.2: Clean and normalize text fields
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | Inspect: compare abstract_raw to abstract_clean in the log.
2026-04-09 19:30:14 | INFO | CI | Did we remove anything we should have kept?
2026-04-09 19:30:14 | INFO | CI | Is there still noise that cleaning missed?
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI |   abstract (raw):   We report an exploratory red-teaming study of autonomous language-model-powered agents deployed in a live laboratory env...
2026-04-09 19:30:14 | INFO | CI |   abstract (clean): report exploratory redteaming study autonomous languagemodelpowered agents deployed live laboratory environment persiste...
2026-04-09 19:30:14 | INFO | CI |   characters removed: 284 (19.7%)
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | PHASE 3.3: Engineer derived features
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI | Inspect: do these derived fields look meaningful?
2026-04-09 19:30:14 | INFO | CI | Would any additional features help the analysis?
2026-04-09 19:30:14 | INFO | CI | ========================
2026-04-09 19:30:14 | INFO | CI |   abstract_word_count: 177
2026-04-09 19:30:14 | INFO | CI |   author_count:        38
2026-04-09 19:30:14 | INFO | CI |   token_count:         121
2026-04-09 19:30:14 | INFO | CI |   unique_token_count:  111
2026-04-09 19:30:14 | INFO | CI |   type_token_ratio:    0.9174
2026-04-09 19:30:14 | INFO | CI |   top 10 tokens:       ['report', 'exploratory', 'redteaming', 'study', 'autonomous', 'languagemodelpowered', 'agents', 'deployed', 'live', 'laboratory']
2026-04-09 19:30:14 | INFO | CI | ========================
